"responseid","startdate","enddate","agegroup","state","area","edu","race","income","marstatus","armedforces","lbgtq","howhear","howheartext","yeargrad","whyattend","everrun","everwon","officeran","soughtreceivedappointed","soughtappointedtext","activeparty","commuting","famcaring","volunteering","workinggov","workingeve","workingweekend","workingotherjob","constitserv","fundraising","polevents","occupation","employed","employedtext","employedlead","hhexpenses","children","childage","distance","whyseek","whynotseek","discrimclass","discrimgender","discrimsexorient","discrimrace","needraisemoney","negadvertising","campaigndiff","officediff","timefam","worklife","fearlose","privacy","loseincome","fearnotseriousvoters","fearnotseriouscolleagues","fearnotseriousparty","biggestchall","planrunfuture","whenplanrun","whathelpemerge","menopps","solves","exciting","certaintype","certaintypetext","openseat","multiseat","manyrun","endorsementincumb","endorsementother","nowomanheld","communitystruggle","appointment","n","white","ran","won","areas","breadwinner","plan","planrun","yearstorun","runyearsfromgrad","aggressivecand","aggressivelead","assertivecand","assertivelead","calmcand","calmlead","compassionatecand","compassionatelead","decisivecand","decisivelead","goodnegcand","goodneglead","honestcand","honestlead","indepcand","indeplead","knowledgecand","knowledgelead","leadabilitiescand","leadabilitieslead","nurturingcand","nurturinglead","sensitivecand","sensitivelead","aggressivediff","assertivediff","calmdiff","compassionatediff","decisivediff","goodnegdiff","honestdiff","indepdiff","knowledgediff","leadabilitiesdiff","nurturingdiff","sensitivediff","emergestate","reasons","_Irace_2","_Irace_3","_Irace_4","_Irace_5","_Irace_6","_Irace_7","_Irace_8","_Ilbgtq_2","_Ilbgtq_3","_Iarea_2","_Iarea_3","_Istate_2","_Istate_3","_Istate_4","_Istate_5","_Istate_6","_Istate_7","_Istate_8","_Istate_9","_Istate_10","_Istate_11","_Istate_12","_Istate_13","_Istate_14","_Istate_15","_Istate_16","_Istate_17","_Istate_18","_Istate_19","_Istate_20","_Istate_21","_Istate_22","_Istate_23","_Istate_24","_Imarstatus_2","_Imarstatus_3","_Imarstatus_4","_Imarstatus_5","_Imarstatus_6","_Imarstatus_7","rentown","_merge","office","sheriff","clerk","mayor","coroner","alderman","judge","council","da","board","freeholder","school","commission","congress","governor","party","legisl","citymisc","city","county","state.o","natl","offs","lvls","singlehh","job","inc","binincome","eth","activedem","educ","vet","renter","lgbt","kids","psychindex"
"R_01eLdPGutvHcbn7","7/26/16 18:37","7/26/16 18:47",3,"California","Suburban",6,"Hispanic/Latino",9,"Single","No","No","Emerge alum","",2010,"Had previously run for or held office and wanted to improve my next campaign","Yes","No","Coroner","Yes, I sought an appointive office and received the appointment","Commissioner","Yes, somewhat active",3,3,2,1,1,1,1,1,1,2,"Administration","Yes, full-time","","No",4,"No",NA,8,"To make changes in the all male arena where it's not about the people but those are more interested is saying they hold an office than working towards change or making a difference instead they just go with the flow","",0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,"I was running against an incumbent and I did not have a lot of support in getting my information out. Plus people thought the coroner was a doctor when in reality it is just a figure head who only had a high school education","No","","More support getting people to help me get my message out. I felt like outside of my classmates no one really helped but I sure got emails asking for money and my time when other emerge members ran for office",5,4,1,5,"Strong and not willing to back down or take no for an answer. You have to have a thick skin and be willing to put everything aside to win",5,3,3,5,5,3,5,"Yes, received",1,0,1,0,2,1,"",NA,NA,NA,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,"California",3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Own",3,"coroner",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,1,1,5,"Latinx",2,0.625,0,0,0,0,0.4375
"R_0ibbagfM1CITimJ","5/10/16 15:53","5/10/16 15:59",3,"Maine","Rural",6,"White/Caucasian",4,"Single","No","No","Convention/Event booth","",2016,"Had decided to run for office and wanted to learn tools and tricks of the trade","No","","","Yes, I sought an appointive office and received the appointment","Town Library Board","Yes, a little active",2,3,3,1,2,1,1,3,1,1,"Teacher","Yes, full-time","","Yes, mid-level leadership or management",4,"No",NA,5,"I want to create positive change and bring an educators voice to education lawmaking","",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"","Yes","2020","Planning, campaign support via advising",5,4,5,1,"",5,3,3,5,5,3,5,"Yes, received",1,1,0,NA,1,1,"2020",2020,4,4,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,"Maine",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Rent",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0.375,2,"White",1,0.625,0,1,0,0,0.125
"R_0lejb5ITGxRNYbP","7/26/16 13:27","7/26/16 13:37",2,"Virginia","Suburban",8,"African American",3,"Married","No","No","Social media","",2014,"Was considering running for office and wanted to learn more about it","No","","","Yes, I sought an appointive office but didn't receive the appointment","State board opening.","Yes, a little active",2,2,2,1,3,1,2,1,1,1,"Financial Stability Strategies Manager at a nonprofit","Yes, full-time","","Yes, mid-level leadership or management",3,"No",NA,9,"I haven't sought office.","",0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,"","Yes","2020","Part of my reluctance to run is the lack of party support in my area of the state. In addition I currently work at an organization where I cannot be political, so I would need to change jobs (which I am willing to do - there just are few opport",5,4,5,4,"I believe that you must be a confident and smart woman to succeed. Confident in why you are running, why you can make a difference, and in who you are.  Smart to figure out how to maneuver obstacles.  wealth helps.  Also I do think it's harder",4,4,2,4,4,4,3,"Yes, didn't receive",1,0,0,NA,2,1,"2020",2020,4,6,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,-1,0,1,1,-1,0,0,0,0,0,1,"Virginia",4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0.25,2,"Black",1,0.875,0,0,0,0,0.5625
"R_0oMbBr80yjSHegR","7/26/16 12:23","7/26/16 12:37",4,"Wisconsin","Urban",5,"African American",9,"Living with a partner","No","No","Friend/Family","",2013,"Was considering running for office and wanted to learn more about it","No","","","No, I haven't sought appointive office","","Yes, a little active",3,3,3,1,2,2,3,1,1,2,"Sales rep","Yes, full-time","","Yes, high-level leadership or management",2,"Yes",26,6,"","Timing",0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,"","Yes","2020","Money and staffing for campaign",5,5,3,4,"Thick skinned",3,3,3,3,5,3,4,"Haven't sought",1,0,0,NA,3,0,"2020",2020,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"Wisconsin",4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,5,"Black",1,0.5,0,0,0,1,0.375
"R_0Szr4HP5VVmnifv","6/12/16 16:39","6/12/16 16:56",3,"New Mexico","Urban",7,"African American",9,"Living with a partner","No","Yes","Friend/Family","",2014,"Was considering running for office and wanted to learn more about it","No","","","No, I haven't sought appointive office","","Yes, somewhat active",3,4,3,1,4,4,1,2,1,3,"Professor","Yes, full-time","","Yes, mid-level leadership or management",3,"Yes",12,4,"","time",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"","Yes","2018","i am very active with emerge and know the kind of support they offer. thus, i expect their full support. no concerns with regards to utilizing emerge's expertise. .",5,4,4,3,"",3,3,3,4,4,3,4,"Haven't sought",1,0,0,NA,3,1,"2018",2018,2,4,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,"New Mexico",4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,5,"Black",2,0.75,0,0,1,1,0.25
"R_0VDE5aGaXbkZ2aB","6/11/16 13:09","6/11/16 13:29",2,"California","Urban",6,"White/Caucasian",9,"Married","No","No","Friend/Family","",2010,"Was considering running for office and wanted to learn more about it","Yes","Yes","Sacramento City Unified School Board","No, I haven't sought appointive office","","Yes, somewhat active",2,4,4,3,3,3,3,4,2,2,"Executive VP","Yes, full-time","","Yes, high-level leadership or management",2,"Yes",4,1,"Confidence in my ability to lead and desire to bring voice to an underrepresented constituency.","",0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,"Crowded field of candidates. Politically charged town. Fundraising as someone who didn't come from wealth or an affluent network.","Yes","2016","Continued training. Now that I'm an elected, I need more support and counsel about taking the next step and running for higher office.",5,4,4,5,"You need to have a support network much greater than a man does, as so often women still disproportionately shoulder the responsibilities of the family.  You need to be resilient and rooted in your core values.  You need courage and tenacity.",5,3,2,5,5,4,2,"Haven't sought",1,1,1,1,3,0,"2016",2016,0,6,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,"California",4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"sacramento city unified school board",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,0,2,2,0,1,1,5,"White",2,0.625,0,0,0,1,0.375
"R_0xnHTbhHRMCngQh","5/10/16 14:50","5/10/16 14:57",1,"Wisconsin","Urban",4,"Other",7,"Living with a partner","No","No","Emerge alum","",2015,"Had not really thought about running for office but was pushed to attend the training","No","","","No, I haven't sought appointive office","","Yes, somewhat active",2,1,2,1,3,2,1,1,1,4,"Union Organizer/Political Director","Yes, full-time","","No",3,"No",NA,7,"","Waiting for the right time/district to open up",0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,"","Yes","2020","A more cohesive network of Alum",5,4,4,4,"As screwed up as it is, you have to be tough enough and have thick skin to deal with the sexist and be able to push through it and stand up against it. Politics may be different in other cities in Wisconsin, but Milwaukee can be brutal and high",5,3,1,5,5,5,5,"Haven't sought",1,0,0,NA,3,1,"2020",2020,4,5,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,0,0,1,0,0,0,0,0,0,"Wisconsin",2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Rent",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0.75,4,"Other/Prefer Not to Say",2,0.375,0,1,0,0,0.5
"R_10IxhQIOD0RuRsn","7/6/16 5:30","7/6/16 5:37",3,"California","Suburban",5,"White/Caucasian",9,"Single","No","Yes","Colleague","",2011,"Had not really thought about running for office but was pushed to attend the training","Yes","Yes","CDP EBoard","Yes, I sought an appointive office and received the appointment","Fair Board","Yes, very active",2,3,3,3,2,2,1,3,2,3,"Insurance Examiner","Yes, full-time","","No",3,"Yes",25,3,"To make a difference, to change the status quo and have representation that was relevant to myself and the community is why I decided to seek office.","",0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,"Time","No","","Fundraising and phone banking",1,2,1,1,"",3,3,3,3,3,5,3,"Yes, received",1,1,1,1,2,1,"",NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,-1,0,0,"California",2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Own",3,"cdp eboard",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,1,1,5,"White",3,0.5,0,0,1,1,0.5625
"R_10TRZWFLXUpAqIf","8/2/16 16:31","8/2/16 16:43",4,"Arizona","Suburban",6,"White/Caucasian",7,"Living with a partner","No","No","Emerge alum","",2015,"Wasn't sure about running for office but liked the program and/or the idea of leadership training","Yes","Yes","Board of Trustees","No, I haven't sought appointive office","","Yes, very active",1,2,4,1,2,3,1,2,1,3,"Director","Yes, full-time","","Yes, high-level leadership or management",3,"No",NA,9,"I haven't run for government office...yet.","",0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,"N/A","Yes","2018","refresher training, additional campaign strategies and best marketing ideas",4,3,4,4,"confident, curious, hard-working, ability to have behavioral flexibility, strong self-awareness, ability to delegate and know when to delegate or ask for help. open-minded, sense of humor, excellent communication skills, active listener, empath",4,4,3,4,4,5,5,"Haven't sought",1,1,1,1,2,1,"2018",2018,2,3,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,"Arizona",5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Rent",3,"board of trustees",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,2,1,0,1,0.75,4,"White",3,0.625,0,1,0,0,0.25
"R_10vnnvInNGcSnbg","5/11/16 7:52","5/11/16 8:01",4,"Arizona","Urban",6,"Hispanic/Latino",9,"Living with a partner","No","Yes","Social media","",2014,"Was considering running for office and wanted to learn more about it","No","","","No, I haven't sought appointive office","","Yes, somewhat active",3,2,2,2,2,2,1,1,1,2,"Manager in municipal government","Yes, full-time","","Yes, mid-level leadership or management",3,"No",NA,2,"","Full-time employed in municipal government",0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,"","Yes","2020","Fundraising",5,5,5,5,"Strong willed, tenacious, good speaker,",4,3,2,4,4,4,4,"Haven't sought",1,0,0,NA,3,1,"2020",2020,4,6,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,-1,0,-1,1,0,0,0,-1,-1,1,0,"Arizona",4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,5,"Latinx",2,0.625,0,0,1,0,0.4375
