"country","yr","elect_yr","elect_vio","polity2","elect_sys","party_comp","elect_monitor","cand_restrict","social_power","gdppc","regime_type"
"Albania",1992,1992,1,5,6,6,0,1,0.939,200.852219772323,5
"Albania",1992,1992,1,5,6,6,0,1,0.939,200.852219772323,5
"Albania",1992,1992,1,5,6,6,0,1,0.939,200.852219772323,5
"Albania",1992,1992,1,5,6,6,0,1,0.939,200.852219772323,5
"Albania",1992,1992,1,5,6,6,0,1,0.939,200.852219772323,5
"Albania",1992,1992,1,5,6,6,0,1,0.939,200.852219772323,5
"Albania",1992,1992,1,5,6,6,0,1,0.939,200.852219772323,5
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,1,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1996,1996,0,0,5,6,1,1,1.166,1009.97727483821,0
"Albania",1997,1997,1,5,5,8,0,1,1.166,717.380047745673,5
"Albania",1997,1997,1,5,5,8,0,1,1.166,717.380047745673,5
"Albania",1997,1997,1,5,5,8,0,1,1.166,717.380047745673,5
"Albania",1997,1997,1,5,5,8,0,1,1.166,717.380047745673,5
"Albania",1997,1997,1,5,5,8,0,1,1.166,717.380047745673,5
"Albania",1997,1997,1,5,5,8,0,1,1.166,717.380047745673,5
"Albania",1997,1997,0,5,5,8,0,1,1.166,717.380047745673,5
"Albania",1997,1997,0,5,5,8,0,1,1.166,717.380047745673,5
